assembly_id,scope,bin_index,bin_label,frame_min,frame_max,clip_count,duration_sum_seconds,duration_average_seconds
Boss/AshleyBoss/Default,all,0,0–30帧,0,30,60,182.63333368115127,3.0438888946858547
Boss/AshleyBoss/Default,all,1,31–60帧,31,60,22,12.950000047683716,0.5886363658038053
Boss/AshleyBoss/Default,all,2,61–90帧,61,90,23,27.166666626930237,1.1811594185621843
Boss/AshleyBoss/Default,all,3,91–120帧,91,120,12,20.78333342075348,1.7319444517294567
Boss/AshleyBoss/Default,all,4,121–150帧,121,150,21,46.583332538604736,2.2182539304097495
Boss/AshleyBoss/Default,all,5,151–180帧,151,180,11,29.700000286102295,2.7000000260092993
Boss/AshleyBoss/Default,all,6,181–210帧,181,210,4,12.333333253860474,3.0833333134651184
Boss/AshleyBoss/Default,all,7,211–240帧,211,240,9,33.11666655540466,3.6796296172671847
Boss/AshleyBoss/Default,all,8,241–270帧,241,270,4,16.883333683013916,4.220833420753479
Boss/AshleyBoss/Default,all,9,271–300帧,271,300,5,23.116666316986084,4.623333263397217
Boss/AshleyBoss/Default,all,10,301–330帧,301,330,3,15.333333015441895,5.111111005147298
Boss/AshleyBoss/Default,all,11,331–360帧,331,360,3,17.28333330154419,5.7611111005147295
Boss/AshleyBoss/Default,all,12,361–390帧,361,390,1,6.400000095367432,6.400000095367432
Boss/AshleyBoss/Default,all,13,391–420帧,391,420,0,0,0.0
Boss/AshleyBoss/Default,all,14,421–450帧,421,450,0,0,0.0
Boss/AshleyBoss/Default,all,15,451–480帧,451,480,1,7.983333110809326,7.983333110809326
Boss/AshleyBoss/Default,all,16,481–510帧,481,510,3,24.716666221618652,8.23888874053955
Boss/AshleyBoss/Default,all,17,511–540帧,511,540,1,8.633333206176758,8.633333206176758
Boss/AshleyBoss/Default,all,18,541–570帧,541,570,1,9.449999809265137,9.449999809265137
Boss/AshleyBoss/Default,all,19,571–600帧,571,600,0,0,0.0
Boss/AshleyBoss/Default,all,20,>600帧,601,,0,0,0.0
Boss/AshleyBoss/Default,core,0,0–30帧,0,30,26,1.4166666846722364,0.0544871801797014
Boss/AshleyBoss/Default,core,1,31–60帧,31,60,22,12.950000047683716,0.5886363658038053
Boss/AshleyBoss/Default,core,2,61–90帧,61,90,23,27.166666626930237,1.1811594185621843
Boss/AshleyBoss/Default,core,3,91–120帧,91,120,12,20.78333342075348,1.7319444517294567
Boss/AshleyBoss/Default,core,4,121–150帧,121,150,18,39.583332777023315,2.199074043167962
Boss/AshleyBoss/Default,core,5,151–180帧,151,180,11,29.700000286102295,2.7000000260092993
Boss/AshleyBoss/Default,core,6,181–210帧,181,210,4,12.333333253860474,3.0833333134651184
Boss/AshleyBoss/Default,core,7,211–240帧,211,240,9,33.11666655540466,3.6796296172671847
Boss/AshleyBoss/Default,core,8,241–270帧,241,270,4,16.883333683013916,4.220833420753479
Boss/AshleyBoss/Default,core,9,271–300帧,271,300,4,18.616666316986084,4.654166579246521
Boss/AshleyBoss/Default,core,10,301–330帧,301,330,3,15.333333015441895,5.111111005147298
Boss/AshleyBoss/Default,core,11,331–360帧,331,360,3,17.28333330154419,5.7611111005147295
Boss/AshleyBoss/Default,core,12,361–390帧,361,390,1,6.400000095367432,6.400000095367432
Boss/AshleyBoss/Default,core,13,391–420帧,391,420,0,0,0.0
Boss/AshleyBoss/Default,core,14,421–450帧,421,450,0,0,0.0
Boss/AshleyBoss/Default,core,15,451–480帧,451,480,1,7.983333110809326,7.983333110809326
Boss/AshleyBoss/Default,core,16,481–510帧,481,510,2,16.66666603088379,8.333333015441895
Boss/AshleyBoss/Default,core,17,511–540帧,511,540,1,8.633333206176758,8.633333206176758
Boss/AshleyBoss/Default,core,18,541–570帧,541,570,1,9.449999809265137,9.449999809265137
Boss/AshleyBoss/Default,core,19,571–600帧,571,600,0,0,0.0
Boss/AshleyBoss/Default,core,20,>600帧,601,,0,0,0.0
Boss/AshleyBoss/InCar,all,0,0–30帧,0,30,49,31.76666671782732,0.6482993207719862
Boss/AshleyBoss/InCar,all,1,31–60帧,31,60,22,16.266666769981384,0.7393939440900629
Boss/AshleyBoss/InCar,all,2,61–90帧,61,90,23,25.833333611488342,1.1231884178907976
Boss/AshleyBoss/InCar,all,3,91–120帧,91,120,26,42.666666865348816,1.641025648667262
Boss/AshleyBoss/InCar,all,4,121–150帧,121,150,13,27.916666984558105,2.147435921889085
Boss/AshleyBoss/InCar,all,5,151–180帧,151,180,5,13.250000238418579,2.650000047683716
Boss/AshleyBoss/InCar,all,6,181–210帧,181,210,18,55.19999957084656,3.0666666428248086
Boss/AshleyBoss/InCar,all,7,211–240帧,211,240,7,26.40000009536743,3.7714285850524902
Boss/AshleyBoss/InCar,all,8,241–270帧,241,270,4,16.016666889190674,4.0041667222976685
Boss/AshleyBoss/InCar,all,9,271–300帧,271,300,1,4.583333492279053,4.583333492279053
Boss/AshleyBoss/InCar,all,10,301–330帧,301,330,6,30.53333330154419,5.088888883590698
Boss/AshleyBoss/InCar,all,11,331–360帧,331,360,0,0,0.0
Boss/AshleyBoss/InCar,all,12,361–390帧,361,390,3,18.166666507720947,6.055555502573649
Boss/AshleyBoss/InCar,all,13,391–420帧,391,420,0,0,0.0
Boss/AshleyBoss/InCar,all,14,421–450帧,421,450,0,0,0.0
Boss/AshleyBoss/InCar,all,15,451–480帧,451,480,0,0,0.0
Boss/AshleyBoss/InCar,all,16,481–510帧,481,510,4,33.33333206176758,8.333333015441895
Boss/AshleyBoss/InCar,all,17,511–540帧,511,540,0,0,0.0
Boss/AshleyBoss/InCar,all,18,541–570帧,541,570,0,0,0.0
Boss/AshleyBoss/InCar,all,19,571–600帧,571,600,0,0,0.0
Boss/AshleyBoss/InCar,all,20,>600帧,601,,2,36.03333282470703,18.016666412353516
Boss/AshleyBoss/InCar,core,0,0–30帧,0,30,47,5.700000114738941,0.12127659818593492
Boss/AshleyBoss/InCar,core,1,31–60帧,31,60,22,16.266666769981384,0.7393939440900629
Boss/AshleyBoss/InCar,core,2,61–90帧,61,90,23,25.833333611488342,1.1231884178907976
Boss/AshleyBoss/InCar,core,3,91–120帧,91,120,26,42.666666865348816,1.641025648667262
Boss/AshleyBoss/InCar,core,4,121–150帧,121,150,13,27.916666984558105,2.147435921889085
Boss/AshleyBoss/InCar,core,5,151–180帧,151,180,5,13.250000238418579,2.650000047683716
Boss/AshleyBoss/InCar,core,6,181–210帧,181,210,18,55.19999957084656,3.0666666428248086
Boss/AshleyBoss/InCar,core,7,211–240帧,211,240,7,26.40000009536743,3.7714285850524902
Boss/AshleyBoss/InCar,core,8,241–270帧,241,270,4,16.016666889190674,4.0041667222976685
Boss/AshleyBoss/InCar,core,9,271–300帧,271,300,1,4.583333492279053,4.583333492279053
Boss/AshleyBoss/InCar,core,10,301–330帧,301,330,6,30.53333330154419,5.088888883590698
Boss/AshleyBoss/InCar,core,11,331–360帧,331,360,0,0,0.0
Boss/AshleyBoss/InCar,core,12,361–390帧,361,390,3,18.166666507720947,6.055555502573649
Boss/AshleyBoss/InCar,core,13,391–420帧,391,420,0,0,0.0
Boss/AshleyBoss/InCar,core,14,421–450帧,421,450,0,0,0.0
Boss/AshleyBoss/InCar,core,15,451–480帧,451,480,0,0,0.0
Boss/AshleyBoss/InCar,core,16,481–510帧,481,510,4,33.33333206176758,8.333333015441895
Boss/AshleyBoss/InCar,core,17,511–540帧,511,540,0,0,0.0
Boss/AshleyBoss/InCar,core,18,541–570帧,541,570,0,0,0.0
Boss/AshleyBoss/InCar,core,19,571–600帧,571,600,0,0,0.0
Boss/AshleyBoss/InCar,core,20,>600帧,601,,0,0,0.0
Boss/ChavAlex/Default,all,0,0–30帧,0,30,21,3.0500000081956387,0.14523809562836373
Boss/ChavAlex/Default,all,1,31–60帧,31,60,12,8.616666734218597,0.7180555611848831
Boss/ChavAlex/Default,all,2,61–90帧,61,90,6,7.900000095367432,1.3166666825612385
Boss/ChavAlex/Default,all,3,91–120帧,91,120,11,20.90000033378601,1.9000000303441829
Boss/ChavAlex/Default,all,4,121–150帧,121,150,10,22.166667222976685,2.2166667222976684
Boss/ChavAlex/Default,all,5,151–180帧,151,180,13,34.80000042915344,2.6769231099348803
Boss/ChavAlex/Default,all,6,181–210帧,181,210,11,34.56666660308838,3.142424236644398
Boss/ChavAlex/Default,all,7,211–240帧,211,240,2,7.25,3.625
Boss/ChavAlex/Default,all,8,241–270帧,241,270,1,4.2833333015441895,4.2833333015441895
Boss/ChavAlex/Default,all,9,271–300帧,271,300,3,14.049999713897705,4.683333237965901
Boss/ChavAlex/Default,all,10,301–330帧,301,330,3,15.650000095367432,5.2166666984558105
Boss/ChavAlex/Default,all,11,331–360帧,331,360,4,23.100000381469727,5.775000095367432
Boss/ChavAlex/Default,all,12,361–390帧,361,390,0,0,0.0
Boss/ChavAlex/Default,all,13,391–420帧,391,420,5,33.56666612625122,6.713333225250244
Boss/ChavAlex/Default,all,14,421–450帧,421,450,2,14.649999618530273,7.324999809265137
Boss/ChavAlex/Default,all,15,451–480帧,451,480,0,0,0.0
Boss/ChavAlex/Default,all,16,481–510帧,481,510,1,8.0,8.0
Boss/ChavAlex/Default,all,17,511–540帧,511,540,0,0,0.0
Boss/ChavAlex/Default,all,18,541–570帧,541,570,0,0,0.0
Boss/ChavAlex/Default,all,19,571–600帧,571,600,2,19.533333778381348,9.766666889190674
Boss/ChavAlex/Default,all,20,>600帧,601,,6,70.70000076293945,11.783333460489908
Boss/ChavAlex/Default,core,0,0–30帧,0,30,21,3.0500000081956387,0.14523809562836373
Boss/ChavAlex/Default,core,1,31–60帧,31,60,12,8.616666734218597,0.7180555611848831
Boss/ChavAlex/Default,core,2,61–90帧,61,90,6,7.900000095367432,1.3166666825612385
Boss/ChavAlex/Default,core,3,91–120帧,91,120,11,20.90000033378601,1.9000000303441829
Boss/ChavAlex/Default,core,4,121–150帧,121,150,10,22.166667222976685,2.2166667222976684
Boss/ChavAlex/Default,core,5,151–180帧,151,180,13,34.80000042915344,2.6769231099348803
Boss/ChavAlex/Default,core,6,181–210帧,181,210,11,34.56666660308838,3.142424236644398
Boss/ChavAlex/Default,core,7,211–240帧,211,240,2,7.25,3.625
Boss/ChavAlex/Default,core,8,241–270帧,241,270,1,4.2833333015441895,4.2833333015441895
Boss/ChavAlex/Default,core,9,271–300帧,271,300,3,14.049999713897705,4.683333237965901
Boss/ChavAlex/Default,core,10,301–330帧,301,330,3,15.650000095367432,5.2166666984558105
Boss/ChavAlex/Default,core,11,331–360帧,331,360,4,23.100000381469727,5.775000095367432
Boss/ChavAlex/Default,core,12,361–390帧,361,390,0,0,0.0
Boss/ChavAlex/Default,core,13,391–420帧,391,420,5,33.56666612625122,6.713333225250244
Boss/ChavAlex/Default,core,14,421–450帧,421,450,2,14.649999618530273,7.324999809265137
Boss/ChavAlex/Default,core,15,451–480帧,451,480,0,0,0.0
Boss/ChavAlex/Default,core,16,481–510帧,481,510,1,8.0,8.0
Boss/ChavAlex/Default,core,17,511–540帧,511,540,0,0,0.0
Boss/ChavAlex/Default,core,18,541–570帧,541,570,0,0,0.0
Boss/ChavAlex/Default,core,19,571–600帧,571,600,2,19.533333778381348,9.766666889190674
Boss/ChavAlex/Default,core,20,>600帧,601,,6,70.70000076293945,11.783333460489908
Boss/ChavBobo/Default,all,0,0–30帧,0,30,24,3.9833333753049374,0.16597222397103906
Boss/ChavBobo/Default,all,1,31–60帧,31,60,14,10.166666746139526,0.726190481867109
Boss/ChavBobo/Default,all,2,61–90帧,61,90,7,8.516666769981384,1.216666681425912
Boss/ChavBobo/Default,all,3,91–120帧,91,120,19,35.883333921432495,1.8885965221806575
Boss/ChavBobo/Default,all,4,121–150帧,121,150,15,34.233333110809326,2.282222207387288
