library_id,npc_class,library_kind,mesh_path,mesh_name,mesh_class,lod_index,triangle_count,active_bone_count,skeleton_path
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleBoy_Down200001_S2B2.SK_B_LittleBoy_Down200001_S2B2,SK_B_LittleBoy_Down200001_S2B2,SkeletalMesh,0,5026,12,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleBoy_Down200001_S2B2.SK_B_LittleBoy_Down200001_S2B2,SK_B_LittleBoy_Down200001_S2B2,SkeletalMesh,1,2009,12,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleBoy_Down200001_S2B2.SK_B_LittleBoy_Down200001_S2B2,SK_B_LittleBoy_Down200001_S2B2,SkeletalMesh,2,1003,12,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleBoy_Down200001_S2B2.SK_B_LittleBoy_Down200001_S2B2,SK_B_LittleBoy_Down200001_S2B2,SkeletalMesh,3,300,12,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleBoy_Down200001_S2B2.SK_B_LittleBoy_Down200001_S2B2,SK_B_LittleBoy_Down200001_S2B2,SkeletalMesh,4,89,12,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleGirl_Down200001_S1B1.SK_B_LittleGirl_Down200001_S1B1,SK_B_LittleGirl_Down200001_S1B1,SkeletalMesh,0,4438,11,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleGirl_Down200001_S1B1.SK_B_LittleGirl_Down200001_S1B1,SK_B_LittleGirl_Down200001_S1B1,SkeletalMesh,1,1774,11,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleGirl_Down200001_S1B1.SK_B_LittleGirl_Down200001_S1B1,SK_B_LittleGirl_Down200001_S1B1,SkeletalMesh,2,885,11,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleGirl_Down200001_S1B1.SK_B_LittleGirl_Down200001_S1B1,SK_B_LittleGirl_Down200001_S1B1,SkeletalMesh,3,265,11,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Children/Child/Meshes/Down/SK_B_LittleGirl_Down200001_S1B1.SK_B_LittleGirl_Down200001_S1B1,SK_B_LittleGirl_Down200001_S1B1,SkeletalMesh,4,78,11,SilverPalace/Content/ArtRes/CharRes/NPC/Class_B/Skeleton/SK_B_Child_Skeleton.SK_B_Child_Skeleton
